t,EER,COP,Q_cond,Q_evap,W_comp,h_eff_mean,A_evap,mean_s_ft,max_s_ft,m_dot_air,v_in_air,T_out_water,T_out_air_mean,T_out_ref,p_ref_evap,superheating,T_sat,p_ref_cond,humidity,air_temp_l,cycle_ph,m_dot_ref,valve_pos,dt
378.37969188376167,[2.419476856078426],[3.4114840627593725],11779.124587503511,8353.93594108643,[3452.7860517032545],22.962970571569784,1.9797741078382507,4.3776277886320294e-05,7.731092721320294e-05,1.4622317231119657,1.1883973760364905,32.801216141393695,-4.3349717096203095,-0.5355298999898537,198965.9562796513,9.671887265616192,-10.207417165606046,1413867.1006513499,"[0.0026469175960265674, 0.0023634666837532804]","[-2.788005930840981, -4.818457990853371]","[[198965.9562796513, 400768.88871435466], [1413867.1006513499, 464721.38562096737], [1413867.1006513499, 245765.12895987797], [198965.9562796513, 245765.12895987797]]",[0.05398985525829356],20.548481364098993,0.5
378.87969188376167,[2.419676242085257],[3.411727602600587],11780.693305631787,8355.140570191417,[3452.9993826740333],22.96415257505416,1.9797591754418309,4.408064111469249e-05,7.784793207736298e-05,1.4622124224227668,1.188504000001742,32.80161010472801,-4.335235083736389,-0.5384738512768195,198983.68036506523,9.666690963751307,-10.205164815028127,1413829.6905272566,"[0.002647044491800552, 0.0023636569984482225]","[-2.7871807854261514, -4.817210968755253]","[[198983.68036506523, 400765.91243151936], [1413829.6905272566, 464712.79892980575], [1413829.6905272566, 245765.61311057297], [198983.68036506523, 245765.61311057297]]",[0.05399792815391952],20.55231095644186,0.5
379.37969188376167,[2.4198822061970917],[3.4119699070433893],11782.24218267772,8356.356879968234,[3453.2081183821206],22.965336552754206,1.9797442517015948,4.438479619431611e-05,7.83842146177621e-05,1.4621931439310247,1.1886112067595023,32.80200123416478,-4.335457643536859,-0.5414327661896436,199001.0960482069,9.661519041453175,-10.202951807642819,1413791.197662655,"[0.0026471673235690775, 0.002363840974230447]","[-2.7863823647570793, -4.81600615964506]","[[199001.0960482069, 400762.931616087], [1413791.197662655, 464704.24273458536], [1413791.197662655, 245766.26557072965], [199001.0960482069, 245766.26557072965]]",[0.0540059010165135],20.555702788250603,0.5
379.87969188376167,[2.4199547466572615],[3.412200206047174],11783.77810239809,8357.132650633195,[3453.42517754809],22.96651769797116,1.979729337034843,4.4688734786022415e-05,7.891953112247592e-05,1.4621738654392837,1.1887181060550838,32.80239150499267,-4.335715320463486,-0.5429384843454272,199019.02471895533,9.657735287925846,-10.200673772271273,1413751.5283254648,"[0.0026472927527837354, 0.002364029079336595]","[-2.785567130827288, -4.814774274047525]","[[199019.02471895533, 400761.17249353346], [1413751.5283254648, 464697.2397832046], [1413751.5283254648, 245766.85305370507], [199019.02471895533, 245766.85305370507]]",[0.054013725422525076],20.560587677120814,0.5
380.37969188376167,[2.4203008303517923],[3.412434061186266],11785.308669575326,8358.840595152637,[3453.637039796278],22.967697745264363,1.9797144313654396,4.499245862700677e-05,7.945395349335903e-05,1.462154609144999,1.1888250039766786,32.80277774450872,-4.33597716881326,-0.5487411556043753,199037.03131035357,9.649644841162058,-10.198385996766433,1413711.87036836,"[0.00264742057487465, 0.002364220906760226]","[-2.784736440912726, -4.813518054229454]","[[199037.03131035357, 400755.758129157], [1413711.87036836, 464685.1820643134], [1413711.87036836, 245767.4205666429], [199037.03131035357, 245767.4205666429]]",[0.05402265219757629],20.563852690247515,0.5
380.87969188376167,[2.4225232766619325],[3.4126702193551024],11786.833079233273,8367.019271486277,[3453.844737878203],22.968877315875723,1.9796995351761892,4.5295957841637554e-05,7.9987463011988e-05,1.4621353639494437,1.1889320960203968,32.80316011632118,-4.336247635202521,-0.5516351126398149,199054.34284567702,9.64455156863795,-10.196186681277766,1413674.350836038,"[0.0026475451299167565, 0.002364407818402561]","[-2.7839272652346407, -4.812294599310219]","[[199054.34284567702, 400752.83516029874], [1413674.350836038, 464676.75223915564], [1413674.350836038, 245767.8645963359], [199054.34284567702, 245767.8645963359]]",[0.054030556745007494],20.567673870682814,0.5
381.37969188376167,[2.42504569602539],[3.4129108963013963],11788.33790095669,8376.209915409243,[3454.042094603707],22.970060913704415,1.9796846492320659,4.559921663669503e-05,8.052027123740766e-05,1.4621161298526166,1.1890401171328944,32.803537943317565,-4.336425445626466,-0.5542466744077501,199070.90178813168,9.6398364424129,-10.19408311682065,1413634.6483348084,"[0.002647663756369836, 0.0023645851938055838]","[-2.7831569541930685, -4.8111344841590284]","[[199070.90178813168, 400750.1723425282], [1413634.6483348084, 464668.7807850514], [1413634.6483348084, 245768.412754521], [199070.90178813168, 245768.412754521]]",[0.05403813072549354],20.571120043857626,0.5
381.87969188376167,[2.42753069744142],[3.4131399561715643],11789.822977115498,8385.286733583172,[3454.2453952986607],22.971239711473824,1.9796697753908157,4.5902197380457785e-05,8.105191961981153e-05,1.462096917953247,1.1891474088388438,32.80391258840143,-4.336649920110854,-0.5641267122567797,199088.67684683378,9.627698502184785,-10.191825214441565,1413596.164751108,"[0.0026477891223929857, 0.0023647725885626515]","[-2.782342785990544, -4.809908444014919]","[[199088.67684683378, 400741.2974194142], [1413596.164751108, 464652.0289446865], [1413596.164751108, 245768.8059396746], [199088.67684683378, 245768.8059396746]]",[0.054047971758071946],20.573657633253635,0.5
382.37969188376167,[2.429912568096937],[3.413376726700933],11791.296534039893,8393.98107395948,[3454.437490536333],22.972426768370223,1.9796549117789344,4.620493808861786e-05,8.158315986041822e-05,1.4620777171526058,1.1892564452498864,32.804284794797866,-4.336723727469243,-0.5633063928891602,199104.49912968418,9.626509105141793,-10.189815498030953,1413555.512598914,"[0.0026479037755692833, 0.00236494356976504]","[-2.781598684451091, -4.808791058309737]","[[199104.49912968418, 400741.57191745436], [1413555.512598914, 464648.2343353616], [1413555.512598914, 245769.53518780496], [199104.49912968418, 245769.53518780496]]",[0.054054418783157136],20.577147455263006,0.5
382.87969188376167,[2.432279504921614],[3.4136001125824467],11792.756071333195,8402.647630903748,[3454.638997656868],22.97360743599815,1.979640059663082,4.650741321325949e-05,8.21133485161635e-05,1.462058516351965,1.189364500552763,32.8046581360515,-4.336887575691677,-0.5666527478132934,199121.589419077,9.620992113466173,-10.187644861279466,1413512.0581391251,"[0.0026480237498628487, 0.0023651225785816105]","[-2.780820043383848, -4.807620973831372]","[[199121.589419077, 400738.2700210495], [1413512.0581391251, 464639.18582934036], [1413512.0581391251, 245770.10135957215], [199121.589419077, 245770.10135957215]]",[0.05406243324656229],20.581913238697485,0.5
